spec	Fold_0
nist_1438412	test
nist_1438425	test
nist_1438439	test
nist_1438528	test
nist_1438558	train
nist_1438580	train
nist_1438681	train
nist_1438684	train
nist_1438701	test
nist_1438721	test
nist_1438733	test
nist_1438740	train
nist_1438759	train
nist_1438785	train
nist_1438825	test
nist_1438844	test
nist_1438859	test
nist_1438868	train
nist_1438908	train
nist_1438912	train
nist_1438940	test
nist_1438966	train
nist_1439030	test
nist_1439084	test
nist_1439130	test
nist_1439143	test
nist_1439174	test
nist_1439241	test
nist_1439249	train
nist_1439279	train
nist_1439308	test
nist_1439334	test
nist_1439362	train
nist_1439388	test
nist_1439423	test
nist_1439462	test
nist_1439484	test
nist_1439503	test
nist_1439550	test
nist_1439598	test
nist_1439608	test
nist_1439621	train
nist_1439640	test
nist_1439642	train
nist_1439657	train
nist_1439712	test
nist_1439738	test
nist_1439801	test
nist_1439808	test
nist_1439840	test
nist_1439849	test
nist_1439873	train
nist_1439888	test
nist_1439919	train
nist_1439943	train
nist_1439963	train
nist_1439996	test
nist_1440037	train
nist_1440077	test
nist_1440112	test
nist_1440149	train
nist_1440160	test
nist_1440179	test
nist_1440191	test
nist_1440223	test
nist_1440251	test
nist_1440272	test
nist_1440290	test
nist_1440312	test
nist_1440404	test
nist_1440444	train
nist_1440474	test
nist_1440508	train
nist_1440513	test
nist_1440547	test
nist_1440556	train
nist_1440603	train
nist_1440608	train
nist_1440624	val
nist_1440639	train
nist_1440666	val
nist_1440682	val
nist_1440700	val
nist_1440739	val
nist_1440749	test
nist_1440769	train
nist_1440836	test
nist_1440857	val
nist_1440887	train
nist_1440908	train
nist_1440913	test
nist_1440929	test
nist_1440958	test
nist_1440974	test
nist_1441072	val
nist_1441135	test
nist_1441153	train
nist_1441173	train
nist_1441178	train
nist_1441224	test
nist_1441242	test
nist_1441296	test
nist_1441302	test
nist_1441344	train
nist_1441364	train
nist_1441377	test
nist_1441405	test
nist_1441440	test
nist_1441474	test
nist_1441511	train
nist_1441532	train
nist_1441550	train
nist_1441581	train
nist_1441584	test
nist_1441628	train
nist_1441650	train
nist_1441712	test
nist_1441764	test
nist_1441805	test
nist_1441812	test
nist_1441841	train
nist_1441852	train
nist_1441897	test
nist_1441934	train
nist_1441946	train
nist_1441968	train
nist_1441996	test
nist_1442023	test
nist_1442030	test
nist_1442070	test
nist_1442089	val
nist_1442105	train
nist_1442121	val
nist_1442163	test
nist_1442180	test
nist_1442195	train
nist_1442202	test
nist_1442218	train
nist_1442251	test
nist_1442267	test
nist_1442292	test
nist_1442314	train
nist_1442355	train
nist_1442372	test
nist_1442465	test
nist_1442486	test
nist_1442513	test
nist_1442551	test
nist_1442586	train
nist_1442713	test
nist_1442731	test
nist_1442746	test
nist_1442762	test
nist_1442791	test
nist_1442801	test
nist_1442837	test
nist_1442855	val
nist_1442948	test
nist_1442973	test
nist_1443017	test
nist_1443055	train
nist_1443066	test
nist_1443093	train
nist_1443173	test
nist_1443214	test
nist_1443252	train
nist_1443264	train
nist_1443278	train
nist_1443287	test
nist_1443313	test
nist_1443330	test
nist_1443362	train
nist_1443377	train
nist_1443390	train
nist_1443400	test
nist_1443417	test
nist_1443453	test
nist_1443497	train
nist_1443513	train
nist_1443543	train
nist_1443586	test
nist_1443633	test
nist_1443656	test
nist_1443707	train
nist_1443764	train
nist_1443832	train
nist_1443882	test
nist_1443906	test
nist_1443929	test
nist_1443942	test
nist_1443960	test
nist_1444072	train
nist_1444148	test
nist_1444192	train
nist_1444302	train
nist_1444306	test
nist_1444319	test
nist_1444382	test
nist_1444401	test
nist_1444432	test
nist_1444465	test
nist_1444486	val
nist_1444508	val
nist_1444631	test
nist_1444777	test
nist_1444849	train
nist_1444910	test
nist_1444930	test
nist_1444960	test
nist_1444990	test
nist_1445026	train
nist_1445062	train
nist_1445075	train
nist_1445101	test
nist_1445166	train
nist_1445207	train
nist_1445280	train
nist_1445349	test
nist_1445371	test
nist_1445422	test
nist_1445458	test
nist_1445475	test
nist_1445515	test
nist_1445550	test
nist_1445668	test
nist_1445706	test
nist_1445749	train
nist_1445774	train
nist_1445799	train
nist_1445907	test
nist_1445932	test
nist_1446019	test
nist_1446045	test
nist_1446120	test
nist_1446131	test
nist_1446151	test
nist_1446209	train
nist_1446272	train
nist_1446295	train
nist_1446381	test
nist_1446402	test
nist_1446469	train
nist_1446508	test
nist_1446529	test
nist_1446551	test
nist_1446572	test
nist_1446605	train
nist_1446631	test
nist_1446655	test
nist_1446759	train
nist_1446835	train
nist_1446878	test
nist_1446918	test
nist_1446934	test
nist_1446948	test
nist_1446988	train
nist_1447006	train
nist_1447055	test
nist_1447075	test
nist_1447134	train
nist_1447140	train
nist_1447184	train
nist_1447188	train
nist_1447303	train
nist_1447383	train
nist_1447413	train
nist_1447437	train
nist_1447462	train
nist_1447478	test
nist_1447498	test
nist_1447522	test
nist_1447536	train
nist_1447643	train
nist_1447658	train
nist_1447673	train
nist_1447705	train
nist_1447732	train
nist_1447755	train
nist_1447762	train
nist_1447802	train
nist_1447811	train
nist_1447830	train
nist_1447837	train
nist_1447856	train
nist_1447864	train
nist_1447903	test
nist_1447923	test
nist_1447929	test
nist_1447945	test
nist_1447960	train
nist_1447975	test
nist_1448203	train
nist_1448239	train
nist_1448301	test
nist_1448322	train
nist_1448381	test
nist_1448480	train
nist_1448496	train
nist_1448728	val
nist_1448771	val
nist_1448816	train
nist_1448898	train
nist_1448920	train
nist_1449028	train
nist_1449074	train
nist_1449197	train
nist_1449254	train
nist_1449273	train
nist_1449381	train
nist_1449480	test
nist_1449582	train
nist_1449638	train
nist_1449658	train
nist_1449699	train
nist_1450023	val
nist_1450043	val
nist_1450061	val
nist_1450093	train
nist_1450219	train
nist_1450330	train
nist_1450350	train
nist_1450371	train
nist_1450526	train
nist_1450549	train
nist_1450853	test
nist_1450884	test
nist_1450908	test
nist_1451014	test
nist_1451119	train
nist_1451148	val
nist_1451166	val
nist_1451185	val
nist_1451241	val
nist_1451243	train
nist_1451261	train
nist_1451310	train
nist_1451320	train
nist_1451346	test
nist_1451354	test
nist_1451370	test
nist_1451425	test
nist_1451493	val
nist_1451740	test
nist_1451761	test
nist_1451805	test
nist_1451828	test
nist_1451886	test
nist_1451906	test
nist_1451924	test
nist_1451960	test
nist_1451977	test
nist_1452011	train
nist_1452117	test
nist_1452217	test
nist_1452236	test
nist_1452261	test
nist_1452358	test
nist_1452431	test
nist_1452453	test
nist_1452473	test
nist_1452645	train
nist_1452668	train
nist_1452698	train
nist_1452709	train
nist_1452766	train
nist_1452804	val
nist_1452829	test
nist_1452852	test
nist_1452866	test
nist_1452885	test
nist_1452897	test
nist_1452915	test
nist_1452924	train
nist_1452974	test
nist_1452985	test
nist_1452996	test
nist_1453026	test
nist_1453058	test
nist_1453113	train
nist_1453142	train
nist_1453194	train
nist_1453208	train
nist_1453305	train
nist_1453319	train
nist_1453347	test
nist_1453402	train
nist_1453419	train
nist_1453433	train
nist_1453519	test
nist_1453545	train
nist_1453593	test
nist_1453614	test
nist_1453632	test
nist_1453719	test
nist_1453750	train
nist_1453762	train
nist_1453779	val
nist_1453797	val
nist_1453821	test
nist_1453928	train
nist_1453949	train
nist_1454102	test
nist_1454255	train
nist_1454349	train
nist_1454380	train
nist_1454426	test
nist_1454447	test
nist_1454497	test
nist_1454518	test
nist_1454536	train
nist_1454576	train
nist_1454599	train
nist_1454654	train
nist_1454680	train
nist_1454702	train
nist_1454821	test
nist_1454844	test
nist_1454907	test
nist_1454916	test
nist_1455253	test
nist_1455287	test
nist_1455628	train
nist_1455640	test
nist_1455685	test
nist_1455707	test
nist_1455862	test
nist_1455879	test
nist_1455899	test
nist_1455930	test
nist_1455943	test
nist_1455954	test
nist_1455976	train
nist_1455993	val
nist_1456008	test
nist_1456038	test
nist_1456065	train
nist_1456091	train
nist_1456128	test
nist_1456657	train
nist_1456706	train
nist_1456714	train
nist_1456731	test
nist_1456749	test
nist_1456775	test
nist_1456786	test
nist_1457018	test
nist_1457046	test
nist_1457115	test
nist_1457124	test
nist_1457155	train
nist_1457183	train
nist_1457257	train
nist_1457267	train
nist_1457308	train
nist_1457313	train
nist_1457339	train
nist_1457361	train
nist_1457402	train
nist_1457407	test
nist_1457449	train
nist_1457458	train
nist_1457479	train
nist_1457490	test
nist_1457551	train
nist_1457573	train
nist_1457731	test
nist_1457768	test
nist_1457775	test
nist_1457835	train
nist_1457933	train
nist_1457976	train
nist_1457997	train
nist_1458015	test
nist_1458083	test
nist_1458091	train
nist_1458112	train
nist_1458137	test
nist_1458223	test
nist_1458293	test
nist_1458297	test
nist_1458307	train
nist_1458400	test
nist_1458435	test
nist_1458445	test
nist_1458474	train
nist_1458508	train
nist_1458523	test
nist_1458565	test
nist_1458579	test
nist_1458602	train
nist_1458627	train
nist_1458635	train
nist_1458685	train
nist_1458732	test
nist_1458761	test
nist_1458773	val
nist_1458792	train
nist_1458837	train
nist_1458851	train
nist_1458873	train
nist_1458913	test
nist_1458948	test
nist_1459018	test
nist_1459042	test
nist_1459070	train
nist_1459090	train
nist_1459138	train
nist_1459205	test
nist_1459246	train
nist_1459286	train
nist_1459307	train
nist_1459358	train
nist_1459363	train
nist_1459366	train
nist_1459382	train
nist_1459406	train
nist_1459463	train
nist_1459482	train
nist_1459516	train
nist_1459518	train
nist_1459568	test
nist_1459610	test
nist_1459627	train
nist_1459661	test
nist_1459708	test
nist_1459731	train
nist_1459777	train
nist_1459794	test
nist_1459832	test
nist_1459876	test
nist_1459878	train
nist_1459899	train
nist_1459927	train
nist_1459973	test
nist_1460004	val
nist_1460212	train
nist_1460241	train
nist_1460244	train
nist_1460272	test
nist_1460305	test
nist_1460348	test
nist_1460358	test
nist_1460384	test
nist_1460451	test
nist_1460452	test
nist_1460475	test
nist_1460494	test
nist_1460516	val
nist_1460524	test
nist_1460567	test
nist_1460572	train
nist_1460579	test
nist_1460647	test
nist_1460686	test
nist_1460791	test
nist_1460836	test
nist_1460884	test
nist_1460885	train
nist_1460937	train
nist_1460998	train
nist_1461017	test
nist_1461036	test
nist_1461074	val
nist_1461090	val
nist_1461266	test
nist_1461283	test
nist_1461325	test
nist_1461343	train
nist_1461377	train
nist_1461388	test
nist_1461413	test
nist_1461476	train
nist_1461497	train
nist_1461517	train
nist_1461537	train
nist_1461596	test
nist_1461614	test
nist_1461646	val
nist_1461660	train
nist_1461676	test
nist_1461688	train
nist_1461702	test
nist_1461717	train
nist_1461754	train
nist_1461757	train
nist_1461820	train
nist_1461842	train
nist_1461861	train
nist_1461880	train
nist_1461930	test
nist_1461954	train
nist_1461965	train
nist_1461977	train
nist_1461982	train
nist_1461996	train
nist_1462014	test
nist_1462028	test
nist_1462046	test
nist_1462057	test
nist_1462080	test
nist_1462117	test
nist_1462127	train
nist_1462149	train
nist_1462167	train
nist_1462212	train
nist_1462233	train
nist_1462252	train
nist_1462260	train
nist_1462396	train
nist_1462426	test
nist_1462473	test
nist_1462477	test
nist_1462541	test
nist_1462581	test
nist_1462621	train
nist_1462653	test
nist_1462686	train
nist_1462729	train
nist_1462781	test
nist_1462802	test
nist_1462811	train
nist_1462848	train
nist_1462887	train
nist_1462905	train
nist_1462922	train
nist_1463001	train
nist_1463114	train
nist_1463129	train
nist_1463169	test
nist_1463185	test
nist_1463203	test
nist_1463262	train
nist_1463304	test
nist_1463356	train
nist_1463377	train
nist_1463480	train
nist_1463523	train
nist_1463573	test
nist_1463676	test
nist_1463696	test
nist_1463714	test
nist_1463760	train
nist_1463824	test
nist_1463876	test
nist_1464125	train
nist_1464166	test
nist_1464268	test
nist_1464290	train
nist_1464307	train
nist_1464594	test
nist_1464612	test
nist_1464619	test
nist_1464742	test
nist_1464794	test
nist_1464832	test
nist_1464876	test
nist_1464892	test
nist_1464964	train
nist_1465009	test
nist_1465043	test
nist_1465096	test
nist_1465144	train
nist_1465211	train
nist_1465215	train
nist_1465273	train
nist_1465392	train
nist_1465415	train
nist_1465524	test
nist_1465548	test
nist_1465555	train
nist_1465558	train
nist_1465571	train
nist_1465651	train
nist_1465672	train
nist_1465689	train
nist_1465718	train
nist_1465760	train
nist_1465810	train
nist_1465844	test
nist_1465882	test
nist_1466084	test
nist_1466134	test
nist_1466183	test
nist_1466249	test
nist_1466310	test
nist_1466355	train
nist_1466397	test
nist_1466497	train
nist_1466608	train
nist_1466660	train
nist_1466782	test
nist_1466801	test
nist_1466836	val
nist_1466860	val
nist_1466884	val
nist_1466977	train
nist_1467002	train
nist_1467152	train
nist_1467242	test
nist_1467263	test
nist_1467282	test
nist_1467323	train
nist_1467342	train
nist_1467363	train
nist_1467403	train
nist_1467521	train
nist_1467563	train
nist_1467675	val
nist_1467695	val
nist_1467706	test
nist_1467730	test
nist_1467768	test
nist_1467792	test
nist_1467822	test
nist_1467866	train
nist_1467966	test
nist_1467987	train
nist_1468027	test
nist_1468059	test
nist_1468076	test
nist_1468173	test
nist_1468212	test
nist_1468265	test
nist_1468317	test
nist_1468334	test
nist_1468434	test
nist_1468456	test
nist_1468489	test
nist_1468529	train
nist_1468546	train
nist_1468564	test
nist_1468640	train
nist_1468656	test
nist_1468678	test
nist_1468756	train
nist_1468813	train
nist_1468825	train
nist_1468903	train
nist_1468953	test
nist_1469027	train
nist_1469032	train
nist_1469071	train
nist_1469078	test
nist_1469094	train
nist_1469116	train
nist_1469130	train
nist_1469142	test
nist_1469159	test
nist_1469174	test
nist_1469180	train
nist_1469218	val
nist_1469293	train
nist_1469368	test
nist_1469445	train
nist_1469507	train
nist_1469518	train
nist_1469535	test
nist_1469552	test
nist_1469580	test
nist_1469617	train
nist_1469644	train
nist_1469694	test
nist_1469712	train
nist_1469729	train
nist_1469748	train
nist_1469777	test
nist_1469797	test
nist_1469826	train
nist_1469846	train
nist_1469863	train
nist_1469972	train
nist_1470004	test
nist_1470182	test
nist_1470349	train
nist_1470479	test
nist_1470500	test
nist_1470524	test
nist_1470601	test
nist_1470618	train
nist_1470631	train
nist_1470658	test
nist_1470661	test
nist_1470675	test
nist_1470706	test
nist_1470723	test
nist_1470738	test
nist_1470752	val
nist_1470932	train
nist_1470950	train
nist_1470969	train
nist_1470988	train
nist_1471017	train
nist_1471032	test
nist_1471049	test
nist_1471066	test
nist_1471086	train
nist_1471124	test
nist_1471160	test
nist_1471196	train
nist_1471213	train
nist_1471279	train
nist_1471298	train
nist_1471309	test
nist_1471323	test
nist_1471359	test
nist_1471378	test
nist_1471395	test
nist_1471409	test
nist_1471427	test
nist_1471463	train
nist_1471471	train
nist_1471487	train
nist_1471503	test
nist_1471543	test
nist_1471573	train
nist_1471615	train
nist_1471633	test
nist_1471648	train
nist_1471668	train
nist_1471704	train
nist_1471730	train
nist_1471757	test
nist_1471785	test
nist_1471815	train
nist_1471879	train
nist_1471898	train
nist_1471921	train
nist_1472115	train
nist_1472132	train
nist_1472184	train
nist_1472262	test
nist_1472272	test
nist_1472285	test
nist_1472299	train
nist_1472314	test
nist_1472328	train
nist_1472357	test
nist_1472384	test
nist_1472403	test
nist_1472413	test
nist_1472429	test
nist_1472437	test
nist_1472451	train
nist_1472462	train
nist_1472474	train
nist_1472535	test
nist_1472556	test
nist_1472573	test
nist_1472591	train
nist_1472610	train
nist_1472646	train
nist_1472661	train
nist_1472681	train
nist_1472697	train
nist_1472762	val
nist_1472784	val
nist_1472827	train
nist_1472913	test
nist_1472950	test
nist_1472962	test
nist_1473005	test
nist_1473041	test
nist_1473077	train
nist_1473103	train
nist_1473126	train
nist_1473219	train
nist_1473252	train
nist_1473281	train
nist_1473340	train
nist_1473348	train
nist_1473475	train
nist_1473525	test
nist_1473596	test
nist_1473616	test
nist_1473706	test
nist_1473709	test
nist_1473797	train
nist_1473864	test
nist_1473876	train
nist_1473888	train
nist_1473906	train
nist_1473927	test
nist_1473940	test
nist_1473952	test
nist_1473975	train
nist_1473998	test
nist_1474019	test
nist_1474088	test
nist_1474111	test
nist_1474116	test
nist_1474136	test
nist_1474154	test
nist_1474186	test
nist_1474206	val
nist_1474286	test
nist_1474313	test
nist_1474335	test
nist_1474354	test
nist_1474394	test
nist_1474408	test
nist_1474455	val
nist_1474553	test
nist_1474615	test
nist_1474666	test
nist_1474727	train
nist_1474745	train
nist_1474781	val
nist_1474797	val
nist_1474812	val
nist_1474829	test
nist_1474841	test
nist_1474919	train
nist_1474949	train
nist_1474991	train
nist_1475021	val
nist_1475038	val
nist_1475078	test
nist_1475179	train
nist_1475210	test
nist_1475228	test
nist_1475265	test
nist_1475297	test
nist_1475313	test
nist_1475377	train
nist_1475385	test
nist_1475444	test
nist_1475476	test
nist_1475509	train
nist_1475553	train
nist_1475647	test
nist_1475681	train
nist_1475727	test
nist_1475786	train
nist_1475810	train
nist_1475866	train
nist_1475916	train
nist_1475937	train
nist_1475980	train
nist_1476067	val
nist_1476101	train
nist_1476131	test
nist_1476189	test
nist_1476231	test
nist_1476271	test
nist_1476306	test
nist_1476324	test
nist_1476341	test
nist_1476377	train
nist_1476395	train
nist_1476470	test
nist_1476520	test
nist_1476527	test
nist_1476617	test
nist_1476712	test
nist_1476735	test
nist_1476754	test
nist_1476774	train
nist_1476848	train
nist_1476871	train
nist_1476887	train
nist_1476911	train
nist_1476924	train
nist_1476940	train
nist_1476991	test
nist_1476998	train
nist_1477035	test
nist_1477079	test
nist_1477118	test
nist_1477131	test
nist_1477145	train
nist_1477202	train
nist_1477228	test
nist_1477256	train
nist_1477279	train
nist_1477291	train
nist_1477347	test
nist_1477419	test
nist_1477464	test
nist_1477535	train
nist_1477565	test
nist_1477599	test
nist_1477640	test
nist_1477671	test
nist_1477689	test
nist_1477711	train
nist_1477752	test
nist_1477787	test
nist_1477812	test
nist_1477839	train
nist_1477857	train
nist_1477871	test
nist_1477887	test
nist_1477899	train
nist_1477916	train
nist_1477938	test
nist_1477959	test
nist_1477989	test
nist_1478001	test
nist_1478011	test
nist_1478050	test
nist_1478056	train
nist_1478082	train
nist_1478119	test
nist_1478150	train
nist_1478204	train
nist_1478246	train
nist_1478296	test
nist_1478328	test
nist_1478341	test
nist_1478396	test
nist_1478418	test
nist_1478467	test
nist_1478543	train
nist_1478562	test
nist_1478608	train
nist_1478641	train
nist_1478753	train
nist_1478799	test
nist_1478873	test
nist_1478897	test
nist_1478955	train
nist_1478984	train
nist_1479030	test
nist_1479125	test
nist_1479163	train
nist_1479180	train
nist_1479196	test
nist_1479210	test
nist_1479227	test
nist_1479253	test
nist_1479334	train
nist_1479380	train
nist_1479404	train
nist_1479422	test
nist_1479449	test
nist_1479487	test
nist_1479540	test
nist_1479562	test
nist_1479581	test
nist_1479599	test
nist_1479635	val
nist_1479675	train
nist_1479710	test
nist_1479747	train
nist_1479760	train
nist_1479791	test
nist_1479810	train
nist_1479856	train
nist_1479873	train
nist_1479898	test
nist_1479935	test
nist_1479961	train
nist_1479999	train
nist_1480021	train
nist_1480054	train
nist_1480108	train
nist_1480112	train
nist_1480127	train
nist_1480146	train
nist_1480184	test
nist_1480208	train
nist_1480270	train
nist_1480279	train
nist_1480307	train
nist_1480324	train
nist_1480329	test
nist_1480362	test
nist_1480378	test
nist_1480409	test
nist_1480440	train
nist_1480456	test
nist_1480479	test
nist_1480618	test
nist_1480625	test
nist_1480649	test
nist_1480670	test
nist_1480746	train
nist_1480770	train
nist_1480816	train
nist_1480823	test
nist_1480860	train
nist_1480899	test
nist_1480911	train
nist_1480951	train
nist_1480987	train
nist_1481029	test
nist_1481087	train
nist_1481105	train
nist_1481176	train
nist_1481194	train
nist_1481251	test
nist_1481300	test
nist_1481374	test
nist_1481399	test
nist_1481467	test
nist_1481583	test
nist_1481625	test
nist_1481648	train
nist_1481688	test
nist_1481723	test
nist_1481741	test
nist_1481759	test
nist_1481776	test
nist_1481784	test
nist_1481815	test
nist_1481838	test
nist_1481858	test
nist_1481880	train
nist_1481904	train
nist_1481975	test
nist_1481995	test
nist_1482018	train
nist_1482054	train
nist_1482095	train
nist_1482107	train
nist_1482145	train
nist_1482183	train
nist_1482237	test
nist_1482253	test
nist_1482266	train
nist_1482335	train
nist_1482435	test
nist_1482477	train
nist_1482520	test
nist_1482563	test
nist_1482600	val
nist_1482616	train
nist_1482652	train
nist_1482704	train
nist_1482761	val
nist_1482781	val
nist_1482799	train
nist_1482831	train
nist_1482840	train
nist_1482885	train
nist_1482919	test
nist_1482940	train
nist_1482963	train
nist_1483005	train
nist_1483008	train
nist_1483045	train
nist_1483081	train
nist_1483123	val
nist_1483153	test
nist_1483174	test
nist_1483195	test
nist_1483232	train
nist_1483270	val
nist_1483306	test
nist_1483337	test
nist_1483376	test
nist_1483439	train
nist_1483460	test
nist_1483495	train
nist_1483523	train
nist_1483528	train
nist_1483559	train
nist_1483601	test
nist_1483646	val
nist_1483689	test
nist_1483731	train
nist_1483773	test
nist_1483815	train
nist_1483859	train
nist_1483903	test
nist_1483934	test
nist_1483974	val
nist_1484006	test
nist_1484048	test
nist_1484083	test
nist_1484118	train
nist_1484156	train
nist_1484185	test
nist_1484214	test
nist_1484259	train
nist_1484280	train
nist_1484293	test
nist_1484329	train
nist_1484356	train
nist_1484378	train
nist_1484409	test
nist_1484427	test
nist_1484453	test
nist_1484464	test
nist_1484485	test
nist_1484527	train
nist_1484570	test
nist_1484604	test
nist_1484645	train
nist_1484667	val
nist_1484698	train
nist_1484741	train
nist_1484775	train
nist_1484794	test
nist_1484814	test
nist_1484831	test
nist_1484844	train
nist_1484879	test
nist_1484899	train
nist_1484919	train
nist_1484941	train
nist_1484963	train
nist_1485017	test
nist_1485040	test
nist_1485052	train
nist_1485074	train
nist_1485085	val
nist_1485104	val
nist_1485130	train
nist_1485184	test
nist_1485234	test
nist_1485275	test
nist_1485299	test
nist_1485344	test
nist_1485410	test
nist_1485430	test
nist_1485461	test
nist_1485491	val
nist_1485521	test
nist_1485541	test
nist_1485571	train
nist_1485624	val
nist_1485658	train
nist_1485696	test
nist_1485713	train
nist_1485730	test
nist_1485750	test
nist_1485766	train
nist_1485820	train
nist_1485841	train
nist_1485887	test
nist_1486000	test
nist_1486017	test
nist_1486086	train
nist_1486109	train
nist_1486216	test
nist_1486277	train
nist_1486303	test
nist_1486416	test
nist_1486433	test
nist_1486468	val
nist_1486490	val
nist_1486683	test
nist_1486760	test
nist_1486817	train
nist_1486900	test
nist_1486916	test
nist_1486922	test
nist_1486935	test
nist_1486939	val
nist_1486956	val
nist_1486996	test
nist_1487054	train
nist_1487147	train
nist_1487163	train
nist_1487289	test
nist_1487315	test
nist_1487338	train
nist_1487364	train
nist_1487371	test
nist_1487471	train
nist_1487503	train
nist_1487546	train
nist_1487550	train
nist_1487571	train
nist_1487591	test
nist_1487620	test
nist_1487663	test
nist_1487676	train
nist_1487705	train
nist_1487719	test
nist_1487739	test
nist_1487760	test
nist_1487843	test
nist_1487866	test
nist_1487874	test
nist_1487895	test
nist_1487903	test
nist_1487924	test
nist_1487959	test
nist_1488000	train
nist_1488051	train
nist_1488110	train
nist_1488173	test
nist_1488236	train
nist_1488276	test
nist_1488316	train
nist_1488356	train
nist_1488396	train
nist_1488437	test
nist_1488482	test
nist_1488492	train
nist_1488530	train
nist_1488566	train
nist_1488606	train
nist_1488648	test
nist_1488664	test
nist_1488693	train
nist_1488760	test
nist_1488804	test
nist_1488809	train
nist_1488838	train
nist_1488871	test
nist_1488984	test
nist_1488996	test
nist_1489030	test
nist_1489054	train
nist_1489087	train
nist_1489103	train
nist_1489121	train
nist_1489139	train
nist_1489162	train
nist_1489183	train
nist_1489245	train
nist_1489329	train
nist_1489355	train
nist_1489376	train
nist_1489398	train
nist_1489464	test
nist_1489577	test
nist_1489621	test
nist_1489699	test
nist_1489733	test
nist_1489778	train
nist_1489851	train
nist_1489967	train
nist_1490041	train
nist_1490058	train
nist_1490077	test
nist_1490090	test
nist_1490113	test
nist_1490159	test
nist_1490183	test
nist_1490204	test
nist_1490268	train
nist_1490309	train
nist_1490359	test
nist_1490409	test
nist_1490428	train
nist_1490445	train
nist_1490516	val
nist_1490528	val
nist_1490568	val
nist_1490625	train
nist_1490643	train
nist_1490661	train
nist_1490666	train
nist_1490701	test
nist_1490725	test
nist_1490733	test
nist_1490759	train
nist_1490787	train
nist_1490796	train
nist_1490836	train
nist_1490856	train
nist_1490871	train
nist_1490891	test
nist_1490922	train
nist_1490947	train
nist_1491029	test
nist_1491079	test
nist_1491148	train
nist_1491222	test
nist_1491278	test
nist_1491335	train
nist_1491403	train
nist_1491463	test
nist_1491483	test
nist_1491554	train
nist_1491663	train
nist_1491764	test
nist_1491786	test
nist_1491871	train
nist_1491893	train
nist_1491939	train
nist_1492002	test
nist_1492038	test
nist_1492078	test
nist_1492118	train
nist_1492165	train
nist_1492228	train
nist_1492294	train
nist_1492335	test
nist_1492359	test
nist_1492429	test
nist_1492467	test
nist_1492490	test
nist_1492513	test
nist_1492598	train
nist_1492611	train
nist_1492620	val
nist_1492659	val
nist_1492664	train
nist_1492688	train
nist_1492749	train
nist_1492801	test
nist_1492841	test
nist_1492873	test
nist_1492933	test
nist_1492952	test
nist_1493001	test
nist_1493062	test
nist_1493143	test
nist_1493261	test
nist_1493302	test
nist_1493330	train
nist_1493352	train
nist_1493402	test
nist_1493420	train
nist_1493468	train
nist_1493508	train
nist_1493562	train
nist_1493577	train
nist_1493587	test
nist_1493605	test
nist_1493621	test
nist_1493638	train
nist_1493656	train
nist_1493667	test
nist_1493688	test
nist_1493723	train
nist_1493736	train
nist_1493773	test
nist_1493816	test
nist_1493831	test
nist_1493844	test
nist_1493855	train
nist_1493890	train
nist_1493908	train
nist_1493923	train
nist_1493942	train
nist_1493977	test
nist_1493996	test
nist_1494041	train
nist_1494120	train
nist_1494127	train
nist_1494144	test
nist_1494201	test
nist_1494244	test
nist_1494341	test
nist_1494387	train
nist_1494398	train
nist_1494419	val
nist_1494492	test
nist_1494513	test
nist_1494592	test
nist_1494620	test
nist_1494646	val
nist_1494714	val
nist_1494742	val
nist_1494747	test
nist_1494767	test
nist_1494794	train
nist_1494813	train
nist_1494830	train
nist_1494843	train
nist_1494850	test
nist_1494868	test
nist_1494918	test
nist_1494978	train
nist_1494997	train
nist_1495036	test
nist_1495059	test
nist_1495100	val
nist_1495114	val
nist_1495135	test
nist_1495176	test
nist_1495206	test
nist_1495286	train
nist_1495330	test
nist_1495347	test
nist_1495369	test
nist_1495442	test
nist_1495557	train
nist_1495573	train
nist_1495583	train
nist_1495604	train
nist_1495641	test
nist_1495695	train
nist_1495719	train
nist_1495739	train
nist_1495793	val
nist_1495814	val
nist_1495889	test
nist_1495919	val
nist_1495976	val
nist_1496083	test
nist_1496160	train
nist_1496252	test
nist_1496278	train
nist_1496303	train
nist_1496340	train
nist_1496398	test
nist_1496470	train
nist_1496520	train
nist_1496531	train
nist_1496581	test
nist_1496623	test
nist_1496644	test
nist_1496677	train
nist_1496697	train
nist_1496740	test
nist_1496772	test
nist_1496795	test
nist_1496820	test
nist_1496838	test
nist_1496892	val
nist_1496930	test
nist_1496950	test
nist_1497006	test
nist_1497075	test
nist_1497092	test
nist_1497140	train
nist_1497209	test
nist_1497258	train
nist_1497292	train
nist_1497334	train
nist_1497354	train
nist_1497376	test
nist_1497394	test
nist_1497422	test
nist_1497496	test
nist_1497529	train
nist_1497568	train
nist_1497599	train
nist_1497619	train
nist_1497674	train
nist_1497758	train
nist_1497780	train
nist_1497834	train
nist_1497878	train
nist_1497922	train
nist_1497931	test
nist_1497954	test
nist_1497972	test
nist_1497999	train
nist_1498018	train
nist_1498050	test
nist_1498073	test
nist_1498103	train
nist_1498125	train
nist_1498147	train
nist_1498214	test
nist_1498235	test
nist_1498257	train
nist_1498278	train
nist_1498297	test
nist_1498319	test
nist_1498407	train
nist_1498524	train
nist_1498540	test
nist_1498559	test
nist_1498578	test
nist_1498672	train
